+----+---------------------------------------------------------+--------+----------------+-------------------------------------------------------------------+-------------------------------+-----------+-------+---------+----------+-----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  1 | Albany-Corvallis ReUseIt                                | Reuse  | 541-754-9011   | https://groups.yahoo.com/neo/groups/albanycorvallisReUseIt/info   | NULL                          | NULL      | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 14 | Cat's Meow Humane Society Thrift Shop                   | Reuse  | 541-757-0573   | NULL                                                              | 411 SW 3rd St                 | Corvallis | OR    |   97333 |  44.5612 |  -123.262 | NULL                                                                                                                                                                                          |
| 15 | Children's Farm Home                                    | Reuse  | 541-757-1852   | NULL                                                              | 4455 NE Hwy 20                | Corvallis | OR    |   97330 |  44.6086 |  -123.214 | NULL                                                                                                                                                                                          |
| 16 | Chintimini Wildlife Rehabilitation Ctr                  | Reuse  | 541-745-5324   | NULL                                                              | 311 Lewisburg Rd              | Corvallis | OR    |   97330 |  44.6292 |  -123.247 | NULL                                                                                                                                                                                          |
| 17 | Community Outreach (homeless shelter                    | Reuse  | 541-758-3000   | NULL                                                              | 865 NW Reiman                 | Corvallis | OR    |   97330 |  44.5734 |  -123.262 | NULL                                                                                                                                                                                          |
| 18 | Corvallis Environmental Center                          | Reuse  | 541-753-9211   | NULL                                                              | 214 SW Monroe Ave             | Corvallis | OR    |   97330 |  44.5645 |   -123.26 | NULL                                                                                                                                                                                          |
| 19 | Corvallis Bicycle Collective                            | Reuse  | 541-224-6885   | NULL                                                              | 33900 SE Roche Ln/Hwy 34      | Corvallis | OR    |   97333 |  44.5636 |  -123.251 | NULL                                                                                                                                                                                          |
| 20 | Corvallis Furniture                                     | Reuse  | 541-231-8103   | NULL                                                              | 720 NE Granger Ave, Bldg J    | Corvallis | OR    |   97330 |  44.6285 |  -123.235 | NULL                                                                                                                                                                                          |
| 21 | Corvallis-Uzhhorod Sister Cities/The TOUCH Project      | Reuse  | 541-753-5170   | http://www.sistercities.corvallis.or.us/uzhhorod                  | NULL                          | Corvallis | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 22 | Cosmic Chameleon                                        | Reuse  | 541-752-9001   | NULL                                                              | 138 SW 2nd St                 | Corvallis | OR    |   97333 |  44.5637 |  -123.261 | NULL                                                                                                                                                                                          |
| 23 | Craigslist (corvallis.craigslist.org) and Freecycle.org | Reuse  | NULL           | https://corvallis.craigslist.org/                                 | NULL                          | Corvallis | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 24 | First Alternative Co-op Recycling Center                | Reuse  | 541-753-3115   | NULL                                                              | 1007 SE 3rd St                | Corvallis | OR    |   97333 |   44.554 |  -123.264 | NULL                                                                                                                                                                                          |
| 25 | First Alternative Co-op Store (South store)             | Reuse  | 541-753-3115   | NULL                                                              | 1007 SE 3rd St                | Corvallis | OR    |   97333 |   44.554 |  -123.265 | NULL                                                                                                                                                                                          |
| 26 | First Alternative Co-op Store (North store)             | Reuse  | 541-452-3115   | NULL                                                              | 2855 NW Grant Ave             | Corvallis | OR    |   97330 |  44.5791 |  -123.282 | NULL                                                                                                                                                                                          |
| 27 | Furniture Exchange                                      | Reuse  | 541-833-0183   | NULL                                                              | 210 NW 2nd St                 | Corvallis | OR    |   97339 |  44.5656 |   -123.26 | NULL                                                                                                                                                                                          |
| 28 | Furniture Share (formerly Benton FS)                    | Reuse  | 541-754-9511   | NULL                                                              | 155 SE Lilly Ave              | Corvallis | OR    |   97333 |  44.5487 |  -123.265 | NULL                                                                                                                                                                                          |
| 29 | Garland Nursery                                         | Reuse  | 541-753-6601   | NULL                                                              | 5470 NE Hwy 20                | Corvallis | OR    |   97330 |  44.6177 |  -123.213 | NULL                                                                                                                                                                                          |
| 30 | Goodwill Industries                                     | Reuse  | 541-752-8278   | NULL                                                              | 1325 NW 9th St                | Corvallis | OR    |   97330 |  44.5786 |   -123.26 | NULL                                                                                                                                                                                          |
| 31 | Home Grown Gardens                                      | Reuse  | 541-758-2137   | NULL                                                              | 4845 SE 3rd St                | Corvallis | OR    |   97333 |  44.5121 |  -123.269 | NULL                                                                                                                                                                                          |
| 32 | Habitat for Humanity ReStore                            | Reuse  | 541-752-6637   | NULL                                                              | 4840 SW Philomath Blvd        | Corvallis | OR    |   97333 |  44.5524 |  -123.306 | NULL                                                                                                                                                                                          |
| 33 | Happy Trails Records, Tapes & CDs                       | Reuse  | 541-752-9032   | NULL                                                              | 100 SW 3rd St                 | Corvallis | OR    |   97330 |  44.5645 |  -123.261 | NULL                                                                                                                                                                                          |
| 34 | Heartland Humane Society                                | Reuse  | 541-757-9000   | NULL                                                              | 398 SW Twin Oaks Cir          | Corvallis | OR    |   97333 |  44.5532 |  -123.269 | NULL                                                                                                                                                                                          |
| 35 | Home Life Inc. (for develop. disabled)                  | Reuse  | 541-753-9015   | NULL                                                              | 2068 NW Fillmore              | Corvallis | OR    |   97330 |  44.5757 |  -123.275 | NULL                                                                                                                                                                                          |
| 36 | Jackson Street Youth Shelter                            | Reuse  | 541-754-2404   | NULL                                                              | 555 NW Jackson St             | Corvallis | OR    |   97330 |  44.5665 |  -123.263 | NULL                                                                                                                                                                                          |
| 37 | Linn Benton Food Share (lg. food donations)             | Reuse  | 541-752-1010   | NULL                                                              | 545 SW 2nd                    | Corvallis | OR    |   97333 |  44.5595 |  -123.262 | NULL                                                                                                                                                                                          |
| 38 | Lions Club (box inside Elks Lodge)                      | Reuse  | 541-758-0222   | NULL                                                              | 1400 NW 9th St                | Corvallis | OR    |   97330 |  44.5804 |   -123.26 | NULL                                                                                                                                                                                          |
| 39 | Love INC (for low income citizens)                      | Reuse  | 541-757-8111   | NULL                                                              | 2330 NW Professional Dr #102  | Corvallis | OR    |   97330 |  44.5901 |  -123.278 | NULL                                                                                                                                                                                          |
| 40 | Mario Pastega House (Good Sam patient family housing)   | Reuse  | 541-768-4650   | NULL                                                              | 3505 NW Samaritan Dr          | Corvallis | OR    |   97330 |  44.6007 |  -123.249 | NULL                                                                                                                                                                                          |
| 41 | Mary's River Gleaners (for low income citizens)         | Reuse  | 541-752-1010   | NULL                                                              | PO Box 2309                   | Corvallis | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 42 | Midway Farms (Hway 20 btw Corvallis & Albany)           | Reuse  | 541-740-6141   | NULL                                                              | 6980 US-20                    | Albany    | OR    |   97321 |  44.6371 |  -123.178 | NULL                                                                                                                                                                                          |
| 43 | Neighbor to Neighbor (food pantry)                      | Reuse  | 541-929-6614   | NULL                                                              | 1123 Main St                  | Philomath | OR    |   97370 |   44.541 |   -123.37 | NULL                                                                                                                                                                                          |
| 44 | Osborn Aquatic Center                                   | Reuse  | 541-766-7946   | NULL                                                              | 1940 NW Highland Dr           | Corvallis | OR    |   97330 |   44.588 |  -123.263 | NULL                                                                                                                                                                                          |
| 45 | OSU Emergency Food Pantry                               | Reuse  | 541-737-3473   | NULL                                                              | 2150 SW Jefferson Way         | Corvallis | OR    |   97333 |  44.5642 |  -123.276 | NULL                                                                                                                                                                                          |
| 46 | OSU Folk Club Thrift Shop                               | Reuse  | 541-752-4733   | NULL                                                              | 144 NW 2nd St                 | Corvallis | OR    |   97330 |  44.5653 |   -123.26 | NULL                                                                                                                                                                                          |
| 47 | OSU Organic Growers Club (Crop & Soil Science Dept)     | Reuse  | 541-737-6810   | http://cropandsoil.oregonstate.edu/organic_grower                 | NULL                          | Corvallis | OR    |   97331 |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 48 | Pak Mail (Timberhill Shopping Ctr)                      | Reuse  | 541-754-8411   | NULL                                                              | 2397 NW Kings Blvd            | Corvallis | OR    |   97330 |  44.5915 |  -123.273 | NULL                                                                                                                                                                                          |
| 49 | Parent Enhancement Program                              | Reuse  | 541-758-8292   | NULL                                                              | 421 NW 4th St                 | Corvallis | OR    |   97330 |  44.5681 |   -123.26 | NULL                                                                                                                                                                                          |
| 50 | Pastors for Peace-Caravan to Cuba (Mike Beilstein)      | Reuse  | 541-754-1858   | www.ccds.org                                                      | NULL                          | Corvallis | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 51 | Philomath Community Garden (Chris Shonnard)             | Reuse  | 541-929-3524   | http://philomathcommunityservices.org/                            | 360 S 9th St                  | Philomath | OR    |   97370 |  44.5358 |  -123.374 | NULL                                                                                                                                                                                          |
| 52 | Philomath Community Services (food & kids stuff)        | Reuse  | 541-929-2499   | NULL                                                              | 360 S 9th St                  | Philomath | OR    |   97370 |  44.5358 |  -123.374 | NULL                                                                                                                                                                                          |
| 53 | Play It Again Sports                                    | Reuse  | 541-754-7529   | NULL                                                              | 1422 NW 9th St                | Corvallis | OR    |   97330 |   44.581 |   -123.26 | NULL                                                                                                                                                                                          |
| 54 | Presbyterian Piecemakers (cotton quilts)                | Reuse  | 541-753-7516   | NULL                                                              | 114 SW 8th St                 | Corvallis | OR    |   97333 |  44.5656 |  -123.267 | NULL                                                                                                                                                                                          |
| 55 | Public Library Corvallis, Friends of                    | Reuse  | 541-766-6928   | NULL                                                              | 645 NW Monroe Ave             | Corvallis | OR    |   97330 |  44.5659 |  -123.264 | NULL                                                                                                                                                                                          |
| 56 | Quilts From Caring Hands (cotton quilts)                | Reuse  | 541-758-8161   | NULL                                                              | 1495 NW 20th St,              | Corvallis | OR    |   97330 |  44.5814 |  -123.273 | NULL                                                                                                                                                                                          |
| 57 | Rapid Refill Ink                                        | Reuse  | 541-758-8444   | NULL                                                              | 254 SW Madison Ave            | Corvallis | OR    |   97333 |  44.5634 |  -123.261 | NULL                                                                                                                                                                                          |
| 58 | Replay Children's Wear                                  | Reuse  | 541-753-6903   | NULL                                                              | 250 NW 1st St                 | Corvallis | OR    |   97330 |  44.5658 |  -123.258 | NULL                                                                                                                                                                                          |
| 59 | re·volve (women's resale boutique)                      | Reuse  | 541-754-1154   | NULL                                                              | 103 SW 2nd St                 | Corvallis | OR    |   97330 |  44.5641 |  -123.259 | NULL                                                                                                                                                                                          |
| 60 | Schools (Public, Private, Charter)                      | Reuse  | NULL           | NULL                                                              | NULL                          | Corvallis | OR    |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 61 | Second Glance                                           | Reuse  | 541-758-9099   | NULL                                                              | 312 SW 3rd Street             | Corvallis | OR    |   97333 |  44.5623 |  -123.262 | NULL                                                                                                                                                                                          |
| 62 | The Annex                                               | Reuse  | 541-758-9099   | NULL                                                              | 214 SW Jefferson              | Corvallis | OR    |   97333 |  44.5623 |  -123.261 | NULL                                                                                                                                                                                          |
| 63 | The Alley                                               | Reuse  | 541-753-4069   | NULL                                                              | 312 SW Jefferson              | Corvallis | OR    |   97333 |  44.5625 |  -123.262 | NULL                                                                                                                                                                                          |
| 64 | Senior Center of Corvallis                              | Reuse  | 541-766-6959   | NULL                                                              | 2601 NW Tyler Ave             | Corvallis | OR    |   97330 |  44.5733 |   -123.28 | NULL                                                                                                                                                                                          |
| 65 | South Corvallis Food Bank                               | Reuse  | 541-753-4263   | NULL                                                              | 1798 SW 3rd St                | Corvallis | OR    |   97333 |  44.5469 |  -123.268 | NULL                                                                                                                                                                                          |
| 66 | St. Vincent de Paul Food Bank                           | Reuse  | 541-757-1988   | NULL                                                              | 501 NW 25th Street            | Corvallis | OR    |   97330 |  44.5733 |  -123.278 | NULL                                                                                                                                                                                          |
| 67 | Stone Soup  (St Mary's Church)                          | Reuse  | 541-757-1988   | NULL                                                              | 501 NW 25th Street            | Corvallis | OR    |   97330 |  44.5732 |  -123.278 | NULL                                                                                                                                                                                          |
| 68 | UPS Store (Philomath)                                   | Reuse  | 541-752-1830   | NULL                                                              | 5060 SW Philomath Blvd        | Corvallis | OR    |   97333 |  44.5523 |  -123.308 | NULL                                                                                                                                                                                          |
| 69 | UPS Stores (Corvallis)                                  | Reuse  | 541-752-0056   | NULL                                                              | 922 NW Circle Blvd #160       | Corvallis | OR    |   97330 |  44.5883 |  -123.258 | NULL                                                                                                                                                                                          |
| 70 | Vina Moses (for low income citizens)                    | Reuse  | 541-753-1420   | NULL                                                              | 968 NW Garfield Ave           | Corvallis | OR    |   97330 |  44.5831 |   -123.26 | NULL                                                                                                                                                                                          |
| 71 | Spaeth Heritage House                                   | Reuse  | 541-307-0349   | NULL                                                              | 135 N 13th St                 | Philomath | OR    |   97370 |  44.5411 |  -123.368 | NULL                                                                                                                                                                                          |
| 72 | Book Binding                                            | Repair | 541-757-9861   | http://www.cornerstoneassociates.com/bj-bookbinding-about-us.html | 108 SW 3rd St,                | Corvallis | OR    |   97333 |  44.5644 |  -123.261 | Rebind and restore books.                                                                                                                                                                     |
| 73 | Cell Phone Sick Bay                                     | Repair | 541-230-1785   | http://www.cellsickbay.com/index.html                             | 252 Sw Madison Ave, Suite 110 | Corvallis | OR    |   97333 |  44.5634 |  -123.261 | Cell phones and tablets.                                                                                                                                                                      |
| 74 | Geeks 'N' Nerds                                         | repair | 541-753-0018   | http://www.computergeeksnnerds.com/                               | 950 Southeast Geary St Unit D | Albany    | OR    |   97321 |  44.6329 |  -123.084 | Repair computers of all kinds and cell phone repair; in home repair available                                                                                                                 |
| 75 | Specialty Sewing By Leslie                              | Repair | 541-758-4556   | http://www.specialtysewing.com/Leslie_Seamstress/Welcome.html     | 225 SW Madison Ave            | Corvallis | OR    |   97333 |  44.5636 |  -123.261 | Alterations and custom work.                                                                                                                                                                  |
| 76 | Covallis Technical                                      | Repair | 541-704-7009   | http://www.corvallistechnical.com/                                | 966 NW Circle Blvd            | Corvallis | OR    |   97330 |  44.5889 |  -123.258 | Repair computers and laptops                                                                                                                                                                  |
| 77 | Bellevue Computers                                      | Repair | 541-757-3487   | http://www.bellevuepc.com/                                        | 1865 NW 9th St                | Corvallis | OR    |   97330 |  44.5864 |  -123.255 | Repair computers and laptops                                                                                                                                                                  |
| 78 | OSU Repair Fair                                         | Repair | 541-737-5398   | http://fa.oregonstate.edu/surplus                                 | 644 S.W. 13th St              | Corvallis | OR    |   97333 |  44.5616 |  -123.273 | Occurs twice per quarter in the evenings Small appliances, Bicycles, Clothing, Computers (hardware and software) Electronics (small items only) Housewares (furniture, ceramics, lamps, etc.) |
| 79 | P.K Furniture Repair & Refinishing                      | Repair | 541-230-1727   | http://www.pkfurniturerefinishing.net/                            | 5270 Corvallis-Newport Hwy    | Toledo    | OR    |   97391 |  44.6297 |  -123.955 | Complete restoration, complete refinishing, modifications, custom color matching, furniture stripping, chair press caning, repairs                                                            |
| 80 | Furniture Restoration Center                            | Repair | 541-929-6681   | http://restorationsupplies.com/                                   | 1321 Main St                  | Philomath | OR    |   97370 |  44.5403 |  -123.367 | Restores all typers of furniture and has hardware for doing it yourself.                                                                                                                      |
| 81 | Power Equipment                                         | Repair | 541-757-8075   | https://corvallispowerequipment.stihldealer.net/                  | 713 NE Circle Blvd            | Corvallis | OR    |   97330 |  44.5894 |   -123.25 | Lawn and garden equipment, chain saws (Stihl, honda, shindiawh), hand held equipment.                                                                                                         |
| 82 | Robnett's                                               | Repair | 541-753-5531   | http://ww3.truevalue.com/robnetts/Home.aspx                       | 400 SW 2nd St                 | Corvallis | OR    |   97333 |  44.5611 |  -123.262 | Adjustment and sharpening                                                                                                                                                                     |
| 83 | Footwise                                                | Repair | 541-757-0875   | http://footwise.com/                                              | 301 SW Madison Ave #100       | Corvallis | OR    |   97333 |  44.5639 |  -123.262 | Resoles berkenstock                                                                                                                                                                           |
| 84 | Sedlack                                                 | Repair | 541-752-1498   | http://www.sedlaksshoes.net/                                      | 225 SW 2nd St                 | Corvallis | OR    |   97333 |  44.5635 |  -123.261 | Full resoles, elastic and velcros, sewing and patching, leather patches, zippers, half soles and heels.                                                                                       |
| 85 | Foam Man                                                | Repair | (541) 754-9378 | http://www.thefoammancorvallis.com/                               | 2511 NW 9th St                | Corvallis | OR    |   97330 |  44.5934 |  -123.252 | Replacement foam cusions for chairs and couches;  upholstery.                                                                                                                                 |
| 86 | generic_repair_business                                 | Repair | NULL           | NULL                                                              | NULL                          | NULL      | NULL  |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
| 87 | generic_reuse_business                                  | Reuse  | NULL           | NULL                                                              | NULL                          | NULL      | NULL  |    NULL |     NULL |      NULL | NULL                                                                                                                                                                                          |
+----+---------------------------------------------------------+--------+----------------+-------------------------------------------------------------------+-------------------------------+-----------+-------+---------+----------+-----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
